epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7249,2.24452,3.84495,2.48296,0.89965,0.25926,0.26135,0.12843,2.02388,3.1732,2.90162,0.00010003,0.00010003,0.00010003
2,15.7968,1.91113,2.44743,2.02447,0.80993,0.30556,0.33761,0.12224,2.1616,3.67794,3.07809,0.000210813,0.000210813,0.000210813
3,21.1933,1.81499,2.03675,1.93077,0.81011,0.33963,0.36411,0.14625,2.0873,3.82795,2.72922,0.000317824,0.000317824,0.000317824
4,25.1258,1.83296,2.12604,2.06958,0.77852,0.28704,0.44584,0.19704,2.18558,4.45591,2.63201,0.000421062,0.000421062,0.000421062
5,28.4248,1.83883,1.85154,1.84305,0.54092,0.35977,0.38473,0.13472,2.11388,4.09356,2.59291,0.000520528,0.000520528,0.000520528
6,31.6095,1.7744,1.81061,1.91944,0.50059,0.37222,0.3849,0.13846,2.23785,3.47877,3.07778,0.000616221,0.000616221,0.000616221
7,35.6509,1.86857,1.93564,1.99069,0.40341,0.42963,0.37944,0.16047,2.28094,3.48408,2.92207,0.000708141,0.000708141,0.000708141
8,40.2812,1.76564,1.70027,1.87431,0.65472,0.14815,0.26256,0.08435,2.624,2.64049,3.61075,0.000796289,0.000796289,0.000796289
9,43.4226,1.7667,1.75384,1.86461,0.38016,0.33033,0.209,0.08089,2.6688,3.08158,3.29007,0.000880664,0.000880664,0.000880664
10,46.5219,1.83,1.73714,1.99101,0.35677,0.4,0.17459,0.05051,2.59479,3.53675,3.30717,0.000961267,0.000961267,0.000961267
11,49.6759,1.91194,1.8355,2.01461,0.00442,0.25926,0.00296,0.00116,2.99697,78.5013,4.55578,0.0010381,0.0010381,0.0010381
12,53.853,1.85662,1.72559,1.99375,0.42486,0.12037,0.08025,0.02344,2.95868,5.76523,3.80173,0.00111115,0.00111115,0.00111115
13,58.5945,1.66606,1.55948,1.75963,0.51898,0.16667,0.19265,0.05117,2.95385,4.12814,3.30065,0.00114606,0.00114606,0.00114606
14,61.6593,1.78129,2.11901,1.85038,0.3333,0.19964,0.2153,0.06295,3.47162,4.99849,3.3979,0.00112248,0.00112248,0.00112248
15,64.8585,1.76163,1.68852,1.95022,0.2288,0.43148,0.22919,0.09815,3.12121,3.14009,3.24524,0.0010989,0.0010989,0.0010989
16,68.0046,1.69406,1.55529,1.87837,0.61471,0.26635,0.27957,0.09501,2.54262,3.7068,2.86517,0.00107532,0.00107532,0.00107532
17,72.5921,1.80314,1.64727,1.88084,0.21279,0.37037,0.25581,0.09284,2.18502,2.62603,2.53314,0.00105174,0.00105174,0.00105174
18,76.6888,1.83482,1.7233,1.99568,0.63602,0.39726,0.31654,0.10995,2.49946,3.23421,3.01628,0.00102817,0.00102817,0.00102817
19,79.7689,1.78944,1.60412,1.88925,0.6287,0.37243,0.44682,0.14619,2.51282,2.72782,3.00668,0.00100459,0.00100459,0.00100459
20,82.9336,1.7282,1.56617,1.92566,0.4621,0.59623,0.43191,0.13286,2.5635,3.76959,3.0851,0.000981008,0.000981008,0.000981008
21,86.3231,1.71301,1.46414,1.91285,0.75122,0.25891,0.41969,0.13339,2.61846,3.28653,2.99575,0.00095743,0.00095743,0.00095743
22,90.8371,1.6343,1.40693,1.74406,0.50787,0.31481,0.20072,0.05511,2.7552,2.99283,2.93621,0.000933851,0.000933851,0.000933851
